,price,name,industry,pe_ratio,pe_ratio_lyr,pb_ratio,market_cap,circulating_market_cap,roe_ttm,ROAEBITTTM,debt_to_asset_ratio,debt_to_equity_ratio,MLEV,long_debt_to_working_capital_ratio,fixed_asset_ratio,intangible_asset_ratio,net_profit_ratio,net_profit_to_total_operate_revenue_ttm,net_non_operating_income_to_total_profit,gross_income_ratio,adjusted_profit_to_total_profit,total_profit_to_cost_ratio,total_asset_turnover_rate,accounts_payable_turnover_days,account_receivable_turnover_days,inventory_turnover_days,OperatingCycle,inventory_turnover_rate,DEGM,operating_profit_growth_rate,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,net_operate_cash_flow_to_operate_income,net_operating_cash_flow_coverage,cash_rate_of_sales,net_operate_cash_flow_to_total_liability,ACCA,current_ratio,quick_ratio,super_quick_ratio,LVGI,SGI,GMI,DSRI,SGAI,DEGM_8y,maximum_margin,margin_stability
000001.XSHE,16.86,平安银行,货币金融服务,11.6922,13.1833,1.2203,3271.8379,3271.8098,0.097139,0.008626,0.922304,11.870637,0.0,,0.002855,0.003275,0.210383,0.210383,0.045073,,0.769324,,0.035874,,,,,,,0.143449,,0.009428,0.759422,7.063519,0.289204,0.016975,0.013356,,,,0.998003,1.103322,,,1.014574,,,
000002.XSHE,26.83,万科A,房地产业,7.9739,8.9788,1.8128,3032.365,2606.5801,0.227345,0.01233,0.850587,8.333111,0.387214,1.229185,0.010612,0.003066,0.162238,0.162238,-0.028751,0.379003,0.455775,0.321952,0.210874,360.807113,2.360659,1442.441292,1444.801951,0.249577,0.070566,0.259408,0.025165,0.08756,0.850361,-1.112472,0.176761,-0.005107,-0.010144,1.129656,0.414484,0.298343,1.007197,1.225537,0.909662,0.90336,0.982164,-0.012812,0.701889,8.828713
000004.XSHE,19.34,国农科技,医药制造业,-58.8015,-80.1207,16.3565,16.2411,15.9757,-0.278164,-0.03171,0.095336,0.124796,0.000492,0.010086,0.007049,0.0,-0.124971,-0.124971,0.0,0.780931,0.913823,-0.113931,1.683865,34.946506,,,,,-0.032111,-3.286826,0.718398,0.015851,1.427082,1.246305,-0.277547,-0.806861,-0.015923,7.842507,,3.495727,1.516165,2.64685,0.756495,1.089416,1.2258,0.069321,0.879537,2.781714
000005.XSHE,3.07,世纪星源,生态保护和环境治理业,17.3942,21.8381,2.1147,32.4971,32.4789,0.123839,0.019506,0.468174,0.933528,0.002352,0.01929,0.011342,0.09422,0.295892,0.295892,0.0,0.301389,1.491906,0.411386,0.219521,229.435004,,360.404394,,0.998878,-0.195318,2.081115,0.014492,0.011574,1.616282,-1.914499,0.099464,0.018956,0.013275,1.278372,0.948673,0.87448,0.95421,0.915729,1.169627,1.696053,0.880325,-0.025921,0.328281,2.368075
000006.XSHE,5.36,深振业A,房地产业,8.7939,8.2768,1.1331,72.3597,72.2693,0.128845,0.017402,0.566858,1.374846,0.301186,0.474462,0.000816,0.0,0.291333,0.291333,0.0,0.400787,0.751674,0.503697,0.186027,161.141787,,1482.548492,,0.242825,0.127888,-0.092429,0.017799,0.0495,1.946551,-0.811223,0.485404,-0.022953,-0.029011,2.161024,0.905103,0.787824,0.933861,0.848754,0.766102,0.987524,1.330487,-0.016527,0.463261,5.090537
000007.XSHE,8.96,全新好,房地产业,-15.7683,-15.8205,17.1121,31.0417,27.6817,-1.085221,-0.124882,0.482606,0.950615,0.040663,2.269538,0.180105,0.000695,-4.771334,-4.771334,0.0,0.683077,0.115109,,0.115462,126.297981,,3.200077,,112.497286,-0.05764,-83.74139,,0.025404,0.577203,7.109383,-0.539349,-0.214586,-0.08966,2.418594,2.41575,1.483653,4.206116,1.070624,0.993937,,0.752181,-0.017652,0.706438,8.910657
000008.XSHE,3.48,神州高铁,铁路、船舶、航空航天和其他运输设备制造业,27.6554,29.7712,1.3429,96.7717,90.2632,0.048559,0.011,0.31119,0.457748,0.029736,0.115423,0.039925,0.36456,0.1296,0.1296,0.0,0.514921,0.636972,0.213523,0.267493,360.864046,415.732584,227.34346,643.076044,1.583507,0.066032,-0.560512,0.095715,0.011072,0.313963,0.458597,0.03919,0.01143,-0.004743,1.855941,1.56661,1.386213,0.894665,1.100376,0.99955,1.124735,0.878357,0.130741,0.955325,7.205314
000009.XSHE,4.62,中国宝安,综合,37.7255,55.7392,2.2112,119.1597,117.5253,0.058612,0.012773,0.652047,3.688927,0.37184,0.951352,0.184836,0.05334,0.070898,0.070635,-0.007413,0.371525,0.123901,0.137579,0.453356,103.369461,126.597539,395.933112,522.53065,0.909244,0.077853,4.532185,0.091807,0.040417,1.486059,10.7911,0.148885,0.033988,0.015762,1.578081,0.833197,0.731826,1.026496,1.668047,0.911298,0.82899,0.649039,-0.000585,0.90098,17.075876
000010.XSHE,3.55,*ST美丽,土木工程建筑业,-5.8694,-3.9788,6.595,29.1048,18.5343,-1.12362,-0.02561,0.830591,8.022822,0.025177,0.803976,0.015315,0.049887,-0.343581,-0.343581,0.0,0.237678,0.273631,-0.315954,0.291255,227.908483,304.977063,614.237429,919.214492,0.586093,-1.53116,-0.716552,0.014317,0.002039,0.646713,0.404836,-0.21186,0.003823,-0.014125,1.02698,0.560987,0.493901,1.321535,0.455755,0.383869,7.136485,2.286476,,,0.688771
000011.XSHE,9.23,深物业A,房地产业,9.9727,9.2807,1.6868,55.0089,48.5906,0.169146,0.020367,0.676304,2.174207,0.290027,0.49297,0.004765,0.0,0.190961,0.190961,0.004339,0.637816,0.053793,0.572249,0.247067,141.081273,,1570.007006,,0.229298,1.771426,1.573806,0.029023,0.264531,2.332206,-1441.298609,0.620759,0.140225,0.097834,1.94121,1.09644,1.040848,0.929743,0.959565,0.832306,1.446599,0.925325,0.003006,0.551655,3.338263
000012.XSHE,4.37,南玻A,非金属矿物制品业,25.7171,29.9864,1.4228,135.8282,85.5449,0.055323,0.00858,0.462034,0.891604,0.11834,-0.916441,0.650536,0.080009,0.054186,0.054186,0.003038,0.246133,0.644571,0.071965,0.549338,50.673162,56.612005,38.423738,95.035742,9.369208,0.039854,-0.147053,0.035404,0.011761,4.888812,4.434354,0.220144,0.086984,0.03069,0.702585,0.580845,0.499545,0.918383,0.975234,1.043224,0.951483,0.88715,-0.042469,0.76592,10.503562
000014.XSHE,9.1,沙河股份,房地产业,13.852,12.572000000000001,2.1337,18.3552,18.3552,0.154034,0.023972,0.536879,1.232437,0.010618,0.024484,0.007347,4.6e-05,0.528483,0.528483,0.0,0.310447,0.961921,0.746624,0.133027,166.97724,,3105.985847,,0.115905,0.024967,-1.976445,0.04057,0.025029,-28.262401,-1.581923,-0.51001,0.011052,0.009834,1.773212,0.271199,0.173544,1.05862,0.697526,0.654724,0.269125,1.302741,-0.02279,0.349422,2.985304
000016.XSHE,4.16,深康佳A,计算机、通信和其他电子设备制造业,23.1904,24.3552,1.2018,100.1705,66.4175,0.051824,0.004393,0.757791,3.788423,0.425829,2.364181,0.136622,0.048901,0.012411,0.012411,7.2e-05,0.05652,-2.703504,0.011145,1.39305,43.592186,52.65152,42.537391,95.188911,8.463143,-0.232088,-0.95629,0.039159,0.001655,1.9458,-5.419494,-0.050053,-0.016773,-0.01651,1.130134,0.862147,0.639185,1.094254,1.477109,1.752037,0.876564,0.678009,-0.11645,0.237929,2.798726
000017.XSHE,4.39,深中华A,铁路、船舶、航空航天和其他运输设备制造业,-993.8312,-1520.3925,166.3802,24.2042,13.3009,-0.167413,-0.01362,0.752974,3.549433,0.0,0.0,0.062554,0.013726,-0.038738,-0.038738,0.0,0.08522,0.986792,-0.045255,1.188557,70.610152,,16.687529,,21.572997,-0.283827,-1.748152,0.048509,0.007928,4.310347,1.522458,-0.207585,0.030669,0.007393,1.198782,1.131848,0.990462,1.033036,0.87211,0.992047,1.146634,1.285261,0.022212,0.702034,5.049585
000018.XSHE,0.82,*ST神城,建筑装饰和其他建筑业,-0.4273,-0.8169,-1.0733,13.9256,8.1663,2.511763,-0.093832,1.158972,-7.119865,0.231198,-0.181976,0.021688,0.014748,-6.648025,-6.648025,0.0,-0.522056,0.967124,-1.918498,0.061746,661.440646,3087.622094,492.222363,3579.844457,0.731377,-3.43941,13.064884,0.054045,0.007737,0.396287,0.27029,-1.852754,-0.003271,0.010208,0.739045,0.622908,0.564616,1.20595,0.373548,-26.727145,1.97146,2.636929,,,0.739385
000019.XSHE,6.15,深粮控股,批发业,20.4132,22.9886,1.6158,70.8809,25.5791,0.152209,0.028384,0.311158,0.472151,0.117515,0.316954,0.232093,0.08831,0.038761,0.038761,0.0,0.099754,0.914868,0.043312,2.707629,5.585896,13.802906,62.98458,76.787486,5.715685,-0.591744,-14.358466,0.021869,0.001176,0.496386,3.568105,0.019556,0.217443,0.047759,3.641699,1.12356,0.832785,3.288773,34.072367,2.234882,0.180084,0.122478,-0.088833,0.171798,2.27916
000020.XSHE,10.98,深华发A,计算机、通信和其他电子设备制造业,503.5631,943.5778,9.498,31.0911,19.892,0.018862,0.003179,0.447189,0.808935,2.1e-05,0.002131,0.332545,0.073509,0.00887,0.00887,0.0,0.118982,-0.235492,0.011143,1.175555,56.843634,88.255914,37.460841,125.716755,9.610035,0.178159,0.134934,0.023854,0.005221,13.690343,10.810246,0.123465,0.032508,0.013237,1.114198,0.873142,0.816533,0.967815,0.742444,0.845627,1.057255,1.207298,0.044053,0.809733,4.596559
000021.XSHE,10.24,深科技,计算机、通信和其他电子设备制造业,41.6572,28.4219,2.3316,150.657,150.4591,0.05597,0.008507,0.611078,1.609866,0.011959,0.162947,0.199737,0.034025,0.03314,0.03314,-0.052904,0.08317,0.396981,0.04276,0.795162,39.219092,,125.653919,,2.865012,0.797214,-0.257066,0.005373,0.004688,-2.641457,-10.485135,-0.09114,-0.123778,-0.085438,1.109495,0.685655,0.622643,0.916256,1.130278,1.36106,0.838896,0.754205,0.15304,0.964499,2.212764
000023.XSHE,13.44,深天地A,非金属矿物制品业,26.6879,70.8529,3.9059,18.6488,18.6488,0.146353,0.016586,0.750617,3.718972,0.00249,0.014125,0.083149,0.001461,0.05647,0.05647,0.0,0.160593,0.437065,0.089755,0.79625,140.192213,261.864013,99.524416,361.388429,3.617203,0.612689,9.946713,0.0074,0.008916,1.052785,3.062579,0.076165,0.039821,0.01659,1.186061,0.939246,0.900979,1.035596,1.310888,0.853422,0.955831,0.90318,0.00074,0.534902,5.667467
000025.XSHE,20.57,特力A,批发业,77.0196,102.0071,7.9577,88.6687,80.7945,0.10332,0.018616,0.342939,0.554925,0.000693,0.025239,0.112845,0.027786,0.211194,0.211194,0.0,0.216085,0.728167,0.25426,0.304653,54.297114,,5.515911,,65.265744,-0.096323,0.917568,0.038593,0.011412,1.823798,1.585275,0.140859,0.049382,0.005335,1.397747,1.38697,1.155599,1.167208,1.192956,1.354523,1.632414,1.011385,0.024162,0.719186,4.417729
000026.XSHE,7.89,飞亚达A,零售业,17.4834,19.0117,1.3295,34.9502,28.1449,0.076043,0.017611,0.290427,0.4093,0.002304,0.005229,0.114126,0.010845,0.05591,0.05591,0.007487,0.40482,0.767596,0.07872,0.96508,33.726752,46.160043,292.33793,338.497972,1.231452,-0.020934,0.140545,0.240401,0.008546,1.501881,2.638046,0.096706,0.135423,0.024331,2.445397,0.827215,0.756328,0.920888,1.016331,0.982024,1.117506,1.006999,0.019739,0.869489,14.982259
000027.XSHE,6.17,深圳能源,电力、热力生产和供应业,13.5921,35.4159,1.0209,244.6091,244.6091,0.060068,0.00731,0.641376,2.004024,0.614459,14.924075,0.481105,0.078781,0.090412,0.090412,-0.019026,0.345969,0.73519,0.149126,0.234274,67.63701,130.387352,30.680539,161.06789,11.733823,0.387569,1.463526,0.011116,0.078114,1.490057,2.598499,0.158092,0.029455,0.010392,1.124062,1.066006,0.748973,0.995671,1.19179,1.031906,1.038318,0.891148,0.128642,0.954128,4.085141
000028.XSHE,46.4,国药一致,批发业,15.9442,16.4074,1.5954,198.6509,142.7934,0.100059,0.014267,0.571535,1.598098,0.06551,0.142653,0.017798,0.034044,0.029172,0.029172,0.0,0.112598,0.689585,0.037587,1.442733,73.860112,,42.60118,,8.45047,-0.026669,0.126648,0.060779,0.002645,1.271562,-0.291655,0.036463,-0.004563,-0.013108,1.527493,1.242462,1.193371,0.934577,1.045046,0.910952,1.177219,1.115525,0.02902,0.748305,4.863555
000029.XSHE,11.17,深深房A,房地产业,19.5037,22.0416,3.1106,110.9791,97.8151,0.159488,0.038644,0.358647,0.53848,0.000651,0.002674,0.005735,0.0,0.228151,0.228151,0.00283,0.639026,0.804737,0.761282,0.462699,48.074709,,617.66016,,0.582845,0.270285,0.419451,0.02473,0.286896,1.948601,3.349332,0.580856,0.185428,0.046103,2.412319,1.610285,0.861782,0.971646,1.616143,0.499158,0.150871,0.932473,0.086526,0.913442,2.863706
000030.XSHE,4.57,富奥股份,汽车制造业,9.8779,9.3851,1.2936,82.7422,80.4266,0.130964,0.01792,0.404434,0.763415,0.099066,0.459684,0.213201,0.040652,0.091461,0.091461,0.002709,0.145369,0.95923,0.10051,0.747041,112.335011,140.451828,37.95896,178.410787,9.483927,-0.08132,-0.108947,0.029548,0.006976,0.849079,0.351069,0.018276,0.013904,-0.010277,1.498173,1.293604,1.235297,1.000138,1.091651,1.192022,0.98664,0.785279,-0.083146,0.523443,5.794454
000031.XSHE,7.29,大悦城,房地产业,13.1988,20.6079,1.6591,286.1959,132.2204,0.169043,0.01083,0.789153,8.100147,0.665195,1.254008,0.024663,0.012485,0.154087,0.154087,-0.023567,0.472437,-0.006679,0.344706,0.161416,159.105743,,1667.421489,,0.215902,0.188774,1.413731,0.035455,0.122583,0.682406,4.990371,0.138439,0.017991,0.009798,1.547184,0.704421,0.627787,1.004876,1.005499,0.854602,1.387682,1.128023,0.005524,0.575588,5.184344
000032.XSHE,13.55,深桑达A,批发业,50.4654,52.3198,3.9419,55.9913,55.7289,0.078111,0.018562,0.269748,0.412652,0.002525,0.013025,0.035255,0.108212,0.078043,0.078043,-0.001483,0.235457,0.704439,0.129951,0.665145,85.812897,71.055009,103.321177,174.376186,3.484281,0.204111,0.962796,0.031152,0.007351,1.741624,1.513498,0.152473,0.090759,0.006482,2.90279,2.348319,2.185325,1.590652,0.930048,0.817722,1.078466,1.047879,0.036147,0.781811,4.652515
000034.XSHE,15.65,神州数码,批发业,15.0934,19.9767,2.4402,102.36200000000001,75.977,0.161675,0.008427,0.84709,5.542784,0.159364,16.540547,0.027938,0.124067,0.007419,0.007419,0.033979,0.037103,0.706639,0.00977,3.33284,33.649037,37.407201,34.051545,71.458746,10.572207,-0.141801,0.745564,0.018691,0.000865,1.310855,7.867165,0.008546,0.03846,0.028479,1.005505,0.614531,0.504717,0.988755,1.315708,1.16749,0.879187,0.726553,-0.169357,0.141358,2.053511
000035.XSHE,6.26,中国天楹,生态保护和环境治理业,35.8641,72.9764,1.5409,157.9885,80.1962,0.044329,0.005916,0.744873,3.170839,0.550164,-36.283106,0.252001,0.368578,0.038736,0.038736,-0.05806,0.149417,0.665279,0.062973,0.320238,108.987939,121.536436,20.673621,142.210057,17.413495,-0.582834,1.511201,0.002522,0.01269,2.006928,3.964866,0.102485,0.02252,0.011774,0.956305,0.902011,0.744832,1.001511,1.145841,1.05582,1.234253,1.197004,-0.29959,0.129461,1.941681
000036.XSHE,4.05,华联控股,房地产业,7.1638,6.2045,1.2683,60.0993,59.7384,0.177037,0.027983,0.553863,1.419592,0.249732,0.391151,0.067658,0.00042,0.31447,0.31447,0.0,0.730172,0.649778,1.309539,0.236871,119.059505,,1606.161543,,0.224137,0.016734,-0.134785,0.035099,0.29192,1.887025,4.774736,0.70815,0.106162,0.044499,2.082016,1.349259,1.129472,1.200373,0.839573,0.946044,1.221308,1.429648,0.018376,0.679298,6.683068
000037.XSHE,13.19,深南电A,电力、热力生产和供应业,-845.9579,412.92900000000003,4.0024,79.5044,44.7001,-0.004731,-0.001053,0.395748,0.672605,0.019215,0.265078,0.43253,0.013079,-0.016459,-0.016459,0.0,0.073744,0.874421,-0.012311,0.32055,27.701203,,46.028236,,7.821286,-0.274216,-1.831635,0.00499,0.007577,-2.293967,0.808863,0.12728,0.020467,-0.0026,1.497844,1.389261,1.021596,1.288874,0.921384,1.187976,1.268017,1.034051,,,-0.568308
000038.XSHE,10.65,深大通,商务服务业,-2.168,-2.3695,1.9641,55.6758,24.412,-0.905953,-0.199197,0.105481,0.117756,0.00303,0.008078,0.013331,0.076729,-1.322044,-1.307166,0.0,-0.028676,2.799291,-1.251991,0.61445,40.715051,122.657621,26.697102,149.354723,13.48461,-1.152068,-7.757555,0.01322,0.00128,0.262464,-3.263761,-0.347498,0.082176,0.011368,7.610469,7.142361,5.033597,1.978696,1.701132,4.525455,0.480639,0.612902,,,1.659953
000039.XSHE,9.69,中集集团,金属制品业,20.4273,10.2711,1.0198,347.2071,147.5149,0.04449,0.007156,0.666985,2.915598,0.533003,4.160168,0.312813,0.042675,0.027616,0.027616,0.094998,0.140271,-0.138308,0.056167,0.528446,70.101686,,149.979139,,2.400334,-0.110033,-0.22878,0.011292,0.011927,-1.793529,-36.355272,-0.004572,0.014198,0.00877,1.132743,0.692257,0.522453,1.00185,1.225396,1.233851,0.890677,0.669953,-0.029367,0.731281,9.466116
000040.XSHE,4.87,东旭蓝天,电力、热力生产和供应业,-33.9634,6.4784,0.5008,72.4108,51.6386,-0.014746,-0.000915,0.559875,1.28043,0.44649,0.940952,0.197885,0.034382,-0.021689,-0.021689,0.003469,0.103048,2.76648,-0.012938,0.295503,288.104512,177.800458,134.747258,312.547717,2.671668,-0.398528,-1.065543,0.001638,0.002288,-4.763339,20.919771,0.112848,-0.021515,-0.011446,1.489889,1.23101,0.805,0.961063,1.06706,1.158883,1.217103,0.708743,-0.159136,0.13226,1.968592
000042.XSHE,10.2,中洲控股,房地产业,11.0216,15.1812,0.8912,67.8128,67.5447,0.080862,0.005367,0.816275,4.710331,0.581394,0.745246,0.025593,6.4e-05,0.098326,0.098326,-0.022551,0.5148,0.036803,0.261237,0.106214,358.99277,,4908.830162,,0.073337,0.131121,-0.463802,0.07725,0.081567,11.488259,0.426239,0.438605,0.008611,-0.007871,1.478311,0.310566,0.224736,0.989716,0.917714,0.770571,1.265361,1.346827,-0.006176,0.474671,4.470769
000043.XSHE,19.49,中航善达,房地产业,79.1288,15.175,2.7212,129.9908,129.958,0.03439,0.008811,0.605778,1.543655,0.25809,3.336935,0.048332,0.00087,0.020815,0.020815,0.0,0.177298,0.677752,0.072519,0.539294,33.88796,61.958049,109.073009,171.031058,3.300542,-0.168666,-0.649985,0.012212,0.020828,-10.327655,3.302975,0.018219,0.023978,0.010925,1.475177,0.901409,0.83645,0.83077,1.129321,1.080874,1.049408,0.763575,-0.075918,0.407628,4.441074
000045.XSHE,7.26,深纺织A,计算机、通信和其他电子设备制造业,-201.4486,-160.9093,1.4278,36.978,33.1798,-0.007088,-0.002665,0.151492,0.252213,0.048936,0.098826,0.240025,0.008547,-0.034331,-0.034331,-1.116617,0.087316,-0.138265,-0.0265,0.427043,67.686571,109.251845,100.226452,209.478297,3.591866,-0.173906,-2.208177,0.009473,0.004637,-2.148637,28.992865,0.122101,0.402184,0.059728,5.158925,4.148247,3.913656,1.565876,0.862296,1.166083,3.183562,0.916459,-0.080861,0.245276,2.87698
000046.XSHE,4.43,泛海控股,房地产业,14.3207,24.7295,1.0053,230.1917,229.2509,0.070202,0.003621,0.812688,6.462344,0.700341,1.126999,0.02045,0.017047,0.447768,0.149894,-0.067877,0.465011,0.671525,0.295897,0.023213,825.448214,819.936063,9799.046002,10618.982065,0.036738,0.004924,-0.171604,0.012671,0.164239,-2.685762,1.552845,1.27523,0.007937,0.00175,1.506919,0.853337,0.693976,1.014512,0.597188,0.756166,1.036676,1.60312,-0.00791,0.482155,5.312689
000048.XSHE,24.8,康达尔,农副食品加工业,12.1849,22.1563,7.2669,96.9106,96.8954,0.485785,0.037243,0.763887,3.696859,0.016702,0.268953,0.088303,0.010343,0.190064,0.190064,0.0,0.44794,0.307519,0.391193,0.545558,45.455068,,384.814361,,0.935516,0.03429,0.428449,0.045121,0.133526,1.640743,-0.060771,0.349965,-0.00185,-0.027313,1.128433,0.692424,0.653887,1.090165,2.217933,0.355913,0.082147,0.528862,0.176367,0.975269,1.624477
000049.XSHE,37.53,德赛电池,电气机械和器材制造业,16.6926,19.374000000000002,3.7753,77.7613,77.028,0.226163,0.024591,0.710492,3.179941,0.050613,0.285699,0.087084,0.019612,0.034499,0.034499,0.003039,0.08503,0.538668,0.047281,1.963046,67.566683,72.704954,50.872098,123.577052,7.076571,0.014572,0.213991,0.006815,0.002341,1.145807,1.905164,0.048584,0.049064,0.007559,1.236501,0.855127,0.773163,0.975771,1.381489,1.073466,0.826398,0.350778,-0.112246,0.251924,2.946973
000050.XSHE,13.86,深天马A,计算机、通信和其他电子设备制造业,38.2257,30.6707,1.0542,283.8699,253.4797,0.025413,0.003279,0.585569,1.412945,0.370539,-3.49412,0.68992,0.036807,0.024274,0.024274,0.044548,0.158325,0.586251,0.029341,0.470877,85.135319,83.725016,38.347244,122.072259,9.387898,-0.018465,-0.529096,0.015095,0.005476,-82.315716,3.910521,0.126178,0.04011,0.017387,0.775842,0.647279,0.57502,1.107466,2.063268,1.372504,0.868601,0.308387,0.025739,0.730355,6.200474
000055.XSHE,4.49,方大集团,金属制品业,2.4241,2.2456,0.9985,50.44,30.4549,0.411908,0.063403,0.531441,1.145516,0.247589,4.683852,0.052232,0.007259,0.708101,0.708101,0.000368,0.161869,0.850686,0.984072,0.269875,173.973294,284.105729,120.768381,404.874109,2.980913,-0.493868,0.952618,0.017972,0.020896,0.687784,-1.300788,-0.045589,-0.006175,-0.005782,1.085869,0.885662,0.845479,0.891089,1.034338,1.38143,0.966653,0.858116,-0.014116,0.404866,2.256239
000056.XSHE,4.21,皇庭国际,商务服务业,60.3788,54.5845,0.9079999999999999,49.482,38.0472,0.010586,0.002116,0.546478,1.311166,0.499207,16.640521,0.024509,0.001029,0.088711,0.088711,0.0,0.674546,0.480504,0.139735,0.075502,178.844187,,19.992546,,18.006711,0.053787,-0.68158,0.0366,0.025308,2.684589,6.007723,0.178917,0.024227,0.01044,1.133951,1.125888,0.205976,0.949821,1.351487,1.061063,2.119772,1.137071,,,2.177942
000058.XSHE,7.32,深赛格,商务服务业,206855.3301,324.7438,4.6963,90.45,39.3845,2.3e-05,0.001101,0.592615,1.921677,0.167336,0.75987,0.030059,0.002916,-0.019797,-0.019797,0.000223,0.370618,0.210813,0.027045,0.204107,100.226932,,1123.998374,,0.320285,0.198595,-0.744966,0.026349,0.040374,3.190075,-1.120848,0.141423,-0.008168,-0.01244,2.270112,0.940112,0.508687,1.040261,0.810469,0.869252,1.084282,1.065298,0.043666,0.807738,2.867106
000059.XSHE,5.81,华锦股份,石油加工、炼焦和核燃料加工业,10.1064,8.8052,0.6775,92.9276,92.9274,0.067036,0.009409,0.485542,0.986164,0.396603,1.06675,0.46469,0.047238,0.025447,0.025447,0.0,0.149707,0.728977,0.03123,1.410532,30.610899,14.149929,52.619206,66.769135,6.841608,-0.290553,-0.533451,0.006596,0.05813,0.814751,4.40344,0.021182,0.125343,0.046259,1.771814,1.113502,0.861836,0.976112,1.08808,1.38378,0.676064,0.903436,0.000697,0.533307,2.471478
000060.XSHE,4.05,中金岭南,有色金属冶炼和压延加工业,18.3881,15.7154,1.3475,144.5723,144.5136,0.073279,0.011524,0.459224,0.883543,0.164537,2.989324,0.366813,0.16196,0.038091,0.038024,-0.030684,0.107317,0.820368,0.048111,0.985016,12.735061,18.75404,37.053274,55.807315,9.715741,-0.150054,-0.308905,0.013799,0.009745,2.537671,4.13047,0.084819,0.072087,0.024604,1.143605,0.861924,0.778121,1.004589,1.052557,1.052747,1.067022,0.711887,-0.09824,0.292862,3.284136
000061.XSHE,5.34,农产品,商务服务业,56.7425,211.8869,1.795,90.6179,90.5352,0.031635,0.00553,0.643829,2.41394,0.355318,-1.535821,0.161086,0.093351,0.091078,0.091078,0.000113,0.351694,0.365692,0.167841,0.143272,120.167445,,124.410546,,2.893645,-0.143191,0.402721,0.045664,0.009743,7.290172,4.641293,0.407247,0.0276,0.01207,0.54782,0.463339,0.393904,0.989772,0.941043,1.018389,1.088203,0.980909,0.014497,0.652174,7.036802
000062.XSHE,14.09,深圳华强,批发业,22.4604,21.4958,2.9262,147.3686,147.1905,0.130054,0.0223,0.486709,1.044218,0.038928,0.285748,0.025208,0.186976,0.055284,0.055284,0.054124,0.123383,0.65219,0.073765,1.250388,20.664239,81.07432,54.735307,135.809627,6.577108,-0.222203,0.070095,0.022993,0.002514,0.836947,0.016223,0.047522,0.000451,-0.015781,1.448089,1.061833,0.974552,1.048076,1.422016,1.029252,1.022339,0.827186,-0.189383,0.118614,1.836226
000063.XSHE,34.0,中兴通讯,计算机、通信和其他电子设备制造业,32.6261,-20.5741,5.1748,1436.826,1178.9167,0.158608,0.010796,0.747027,3.959222,0.106581,1.131039,0.075315,0.065445,0.056942,0.056942,-0.004556,0.371583,0.027394,0.084048,0.618293,132.903417,,187.358118,,1.921454,0.183678,6.600399,0.089397,0.009666,3.744426,0.61668,0.043003,0.014906,-0.009665,1.163321,0.842626,0.58915,1.088213,0.785856,0.943999,1.128604,1.068921,0.026004,0.731153,8.978717
000065.XSHE,8.29,北方国际,土木工程建筑业,9.9169,10.8273,1.383,63.792,52.1394,0.139454,0.017188,0.598316,1.629917,0.127894,0.376065,0.036988,0.138967,0.066083,0.066083,-0.009033,0.147692,0.79581,0.087163,0.802818,221.276246,129.710454,21.454412,151.164866,16.779765,-0.080286,-0.013594,0.043295,0.001162,-0.698754,-1.651662,-0.053735,-0.029587,-0.028902,1.377892,1.300051,0.977468,0.933106,1.025835,0.93115,1.078782,1.097344,0.053502,0.840447,3.233523
000066.XSHE,15.08,中国长城,计算机、通信和其他电子设备制造业,46.2004,44.733999999999995,7.056,441.5699,375.5979,0.152726,0.018128,0.636143,1.838822,0.059955,1.11321,0.241291,0.035352,0.093526,0.093526,-0.357724,0.243589,0.480838,0.127581,0.601939,121.097111,131.015316,123.581933,254.597249,2.913047,0.282678,0.49349,0.042116,0.007351,-1.542482,-15.207974,-0.068823,-0.043976,-0.030575,1.291087,0.965768,0.846743,1.162357,1.052872,0.988229,1.297716,0.622418,0.186022,0.97846,2.089927
000068.XSHE,4.14,华控赛格,计算机、通信和其他电子设备制造业,-26.6664,-31.3625,9.2414,41.6762,41.6762,-0.346556,-0.011046,0.780008,6.782454,0.243839,-5.133056,0.511306,0.014573,-0.971551,-0.971551,-4e-06,0.226464,1.043587,-0.598693,0.043119,1653.81592,472.744524,141.166821,613.911345,2.550174,-0.399064,75.615559,0.044585,0.038684,0.006781,0.257203,-0.006294,-0.002153,0.00532,0.847316,0.817406,0.60526,1.193014,0.498628,1.569325,1.588408,2.112467,-0.223795,0.093422,1.585315
000069.XSHE,7.14,华侨城A,房地产业,5.0944,5.5309,0.9396,585.659,500.9986,0.184432,0.012873,0.768913,4.495058,0.640014,0.893106,0.053139,0.02087,0.238278,0.238278,-0.037582,0.613588,0.477458,0.610117,0.14669,329.421612,,3614.291523,,0.099605,0.095595,0.290379,0.034144,0.245258,0.583823,1.51969,0.131063,0.01729,0.002094,1.662178,0.484375,0.412456,1.055489,1.137009,0.832692,0.629267,0.986221,0.019074,0.894682,16.645018
