,price,name,industry,pe_ratio,pe_ratio_lyr,pb_ratio,market_cap,circulating_market_cap,roe_ttm,ROAEBITTTM,debt_to_asset_ratio,debt_to_equity_ratio,MLEV,long_debt_to_working_capital_ratio,fixed_asset_ratio,intangible_asset_ratio,net_profit_ratio,net_profit_to_total_operate_revenue_ttm,net_non_operating_income_to_total_profit,gross_income_ratio,adjusted_profit_to_total_profit,total_profit_to_cost_ratio,total_asset_turnover_rate,accounts_payable_turnover_days,account_receivable_turnover_days,inventory_turnover_days,OperatingCycle,inventory_turnover_rate,DEGM,operating_profit_growth_rate,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,net_operate_cash_flow_to_operate_income,net_operating_cash_flow_coverage,cash_rate_of_sales,net_operate_cash_flow_to_total_liability,ACCA,current_ratio,quick_ratio,super_quick_ratio,LVGI,SGI,GMI,DSRI,SGAI,DEGM_8y,maximum_margin,margin_stability
300386.XSHE,15.86,飞天诚信,软件和信息技术服务业,77.3623,49.7487,3.7603,66.3018,34.7731,0.048606,0.012354,0.068309,0.073803,0.001309,0.005639,0.012485,0.063648,0.089194,0.089194,0.033539,0.368416,0.474235,0.115092,0.513234,38.900636,71.31509,229.279515,300.594606,1.570136,-0.03146,-0.438915,0.110306,0.007699,5.00691,0.819683,0.174742,0.114757,-0.001961,13.688735,10.450238,4.697829,0.793483,0.971655,1.03497,1.454435,0.559445,0.007723,0.830301,12.992749
300387.XSHE,9.62,富邦股份,化学原料和化学制品制造业,40.1897,42.5143,2.366,27.8073,27.8073,0.058872,0.01346,0.156612,0.187407,0.001108,0.008289,0.137597,0.369194,0.109441,0.109441,-0.032299,0.375985,1.067542,0.16094,0.411503,180.21689,133.774596,118.980055,252.754651,3.025717,0.246342,-0.0153,0.144987,0.004887,-0.026487,0.970413,-0.003143,0.087302,0.000773,2.713013,2.163424,1.384873,0.700402,1.087925,1.02002,0.727359,0.844461,-0.019102,0.617565,7.05339
300388.XSHE,10.4,国祯环保,生态保护和环境治理业,22.7913,24.8262,2.1144,69.7127,57.1333,0.090061,0.008302,0.720781,2.869993,0.453831,42.954042,0.111538,0.074739,0.082109,0.082109,-0.050565,0.24045,0.781661,0.108778,0.302982,203.535374,95.257606,84.734287,179.991893,4.248575,0.039898,0.070454,0.025893,0.007466,-5.088051,-11.241504,-0.402753,-0.112318,-0.088957,1.0341,0.848876,0.755496,1.028912,1.524446,1.129397,0.791953,0.56321,-0.025136,0.595521,6.742176
300389.XSHE,10.4,艾比森,计算机、通信和其他电子设备制造业,17.6001,13.8294,2.4515,33.277,16.7722,0.139289,0.024656,0.376877,0.603496,0.002435,0.010469,0.164903,0.016236,0.085506,0.085506,0.018129,0.352895,0.665139,0.117054,0.97534,122.921551,116.408621,101.193021,217.601641,3.557558,-0.036838,-0.190813,0.142295,0.00752,1.394106,3.509081,0.128455,0.179582,0.05018,1.956613,1.481161,1.366165,0.954889,1.283927,0.951253,0.94776,0.830869,0.017943,0.93282,20.339011
300390.XSHE,5.24,天华超净,计算机、通信和其他电子设备制造业,45.8965,57.4556,3.3226,28.8869,17.0825,0.072394,0.016833,0.195182,0.246796,0.00579,0.088949,0.257155,0.229636,0.088716,0.088716,0.000314,0.291543,0.817868,0.121404,0.669629,61.936339,,79.196763,,4.54564,0.179039,0.47838,0.063497,0.010077,2.427316,0.940497,0.224549,0.098381,-0.001898,1.956496,1.3763,1.246811,1.218298,1.057076,0.847768,0.959788,0.861142,0.03254,0.766254,8.240117
300391.XSHE,5.87,康跃科技,电气机械和器材制造业,92.4857,20.1638,1.4088,20.5647,19.1694,0.015233,0.003285,0.316291,0.460949,0.012969,0.05871,0.152273,0.304355,0.025499,0.025499,0.329162,0.277758,0.918616,0.040428,0.358755,185.934347,222.140185,133.57794,355.718125,2.695056,-0.147065,-0.865563,0.055637,0.008901,7.570387,-2.294394,0.126288,0.062946,0.028709,1.712676,1.395991,1.32756,0.595614,1.183924,0.935929,0.91736,0.724339,-0.049876,0.820504,12.628825
300392.XSHE,7.1,腾信股份,互联网和相关服务,28.9315,134.4623,5.4249,27.264,18.3893,0.187509,0.018349,0.661691,1.959052,0.030115,0.390424,0.08465,0.023581,0.076355,0.076355,0.0,0.12794,0.599243,0.087946,0.831094,118.847276,,,,,2.587095,-1.459511,0.009536,0.003163,-2.079792,-45.372691,-0.072496,-0.114432,-0.077519,1.240945,,0.96597,0.904254,0.820044,1.839894,0.698227,0.857801,-0.080065,0.116873,1.610682
300393.XSHE,12.84,中来股份,计算机、通信和其他电子设备制造业,21.5949,36.6705,1.7375,46.1109,22.3156,0.075781,0.011848,0.628704,1.738083,0.328666,1.927785,0.303943,0.016959,0.069146,0.069146,0.000895,0.261938,0.557251,0.119273,0.432315,114.939459,153.21259,97.895914,251.108504,3.677375,-0.003408,0.338106,0.026047,0.004187,-0.630875,0.029312,-0.055259,0.000686,-0.016468,1.443579,1.187554,1.066004,1.000468,0.830083,1.126689,1.165935,0.74267,-0.056826,0.578376,6.512572
300394.XSHE,35.07,天孚通信,计算机、通信和其他电子设备制造业,40.8866,51.4675,6.1697,69.7549,61.6352,0.150898,0.039851,0.121729,0.138793,0.002985,0.029976,0.282669,0.031156,0.341333,0.341333,0.0,0.549705,0.767681,0.755542,0.389325,95.267877,154.294877,101.132677,255.427555,3.55968,0.109852,0.464556,0.018168,0.012155,1.151533,0.96135,0.411228,0.299426,-0.002251,6.121243,5.654555,5.534871,1.159525,1.310352,1.08297,1.021911,0.455984,-0.030911,0.762071,10.415284
300395.XSHE,22.26,菲利华,非金属矿物制品业,40.6949,46.6916,4.1101,75.274,59.9355,0.100998,0.033469,0.13552,0.157426,0.004683,0.028926,0.240926,0.061594,0.241577,0.241577,0.0,0.469016,0.847268,0.441834,0.361646,136.949736,157.608438,133.89061,291.499047,2.688762,-0.014694,0.123397,0.022758,0.006744,1.00201,1.083831,0.25997,0.172122,-0.003274,5.841337,5.240537,4.757401,1.09831,1.324123,1.054931,0.8056,0.753528,-0.017554,0.981805,36.419349
